country,year,cumulative_co2_emissions_tonnes
abw,1986,179683
abw,1987,627057
abw,1988,1239446
abw,1989,1888505
abw,1990,3619329
abw,1991,5390490
abw,1992,6948965
abw,1993,8551444
abw,1994,10146589
abw,1995,11756402
abw,1996,13373549
abw,1997,15023699
abw,1998,16736188
abw,1999,18485347
abw,2000,20806558
abw,2001,23164439
abw,2002,25536988
abw,2003,27953541
abw,2004,30373761
abw,2005,32870988
abw,2006,35368215
abw,2007,37960784
abw,2008,40469012
abw,2009,42991908
abw,2010,45448798
abw,2011,47887353
abw,2012,49189138
abw,2013,50065551
afg,1949,14668
afg,1950,99009
afg,1951,190684
afg,1952,282359
afg,1953,388702
afg,1954,495045
afg,1955,649059
afg,1956,832409
afg,1957,1125769
afg,1958,1455799
afg,1959,1840834
afg,1960,2255205
afg,1961,2746583
afg,1962,3435979
afg,1963,4143710
afg,1964,4983453
afg,1965,5991878
afg,1966,7084644
afg,1967,8368094
afg,1968,9592872
afg,1969,10535291
afg,1970,12207443
afg,1971,14103282
afg,1972,15636088
afg,1973,17275237
afg,1974,19193078
afg,1975,21319938
afg,1976,23307452
afg,1977,25698336
afg,1978,27858199
afg,1979,30098736
afg,1980,31858896
afg,1981,33842743
afg,1982,35943934
afg,1983,38466830
afg,1984,41297754
afg,1985,44807073
afg,1986,47949692
afg,1987,51073976
afg,1988,53941570
afg,1989,56717489
afg,1990,59332060
afg,1991,61770615
afg,1992,63164075
afg,1993,64509864
afg,1994,65804315
afg,1995,67047428
afg,1996,68224535
afg,1997,69320968
afg,1998,70362396
afg,1999,71183804
afg,2000,71957541
afg,2001,72595599
afg,2002,73479346
afg,2003,74506106
afg,2004,75455859
afg,2005,76783313
afg,2006,78433463
afg,2007,80707003
afg,2008,84924053
afg,2009,91700669
afg,2010,100171439
afg,2011,112422886
afg,2012,132877412
afg,2013,154146012
ago,1950,187017
ago,1951,436373
ago,1952,748068
ago,1953,1023093
ago,1954,1371458
ago,1955,1785829
ago,1956,2288208
ago,1957,2907931
ago,1958,3501985
ago,1959,4121708
ago,1960,4671758
ago,1961,5126466
ago,1962,6307240
ago,1963,7458678
ago,1964,8683456
ago,1965,9871564
ago,1966,11426372
ago,1967,12420129
ago,1968,14092281
ago,1969,16879201
ago,1970,20461860
ago,1971,23872170
ago,1972,28378913
ago,1973,33259690
ago,1974,38133133
ago,1975,42548201
ago,1976,45833833
ago,1977,49368821
ago,1978,54781313
ago,1979,60285480
ago,1980,65631966
ago,1981,70912446
ago,1982,75562202
ago,1983,80677667
ago,1984,85686789
ago,1985,90387883
ago,1986,95048640
ago,1987,100864502
ago,1988,105994635
ago,1989,111003757
ago,1990,116119222
ago,1991,121209018
ago,1992,126405157
ago,1993,132180682
ago,1994,136071369
ago,1995,147046700
ago,1996,157504984
ago,1997,164886655
ago,1998,172194986
ago,1999,181351485
ago,2000,190893019
ago,2001,200625237
ago,2002,213291055
ago,2003,222355879
ago,2004,241149254
ago,2005,260305662
ago,2006,282571686
ago,2007,307723639
ago,2008,333432976
ago,2009,361225169
ago,2010,390282477
ago,2011,420623235
ago,2012,454022271
ago,2013,486486222
aia,1997,44004
aia,1998,91675
aia,1999,143013
aia,2000,205352
aia,2001,300694
aia,2002,396036
aia,2003,498712
aia,2004,619723
aia,2005,748068
aia,2006,891081
aia,2007,1041428
aia,2008,1191775
aia,2009,1338455
aia,2010,1488802
aia,2011,1631815
aia,2012,1774828
aia,2013,1910507
alb,1933,7334
alb,1934,14668
alb,1935,33003
alb,1936,161348
alb,1937,458375
alb,1938,806740
alb,1939,1239446
alb,1940,1932509
alb,1941,2559566
alb,1942,3303967
alb,1943,3766009
alb,1944,3920023
alb,1945,4041034
alb,1946,4525078
alb,1947,5452829
alb,1948,6156893
alb,1949,7172652
alb,1950,7469679
alb,1951,7873049
alb,1952,8247083
alb,1953,8661454
alb,1954,9163833
alb,1955,9827560
alb,1956,10667303
alb,1957,12174440
alb,1958,13377216
alb,1959,14822014
alb,1960,16846198
alb,1961,19127072
alb,1962,21591296
alb,1963,23674152
alb,1964,25691002
alb,1965,27865533
alb,1966,30417765
alb,1967,33098342
alb,1968,36171288
alb,1969,39416583
alb,1970,43160590
alb,1971,47513319
alb,1972,53156832
alb,1973,58448313
alb,1974,62793708
alb,1975,67388459
alb,1976,72338909
alb,1977,78059429
alb,1978,84553686
alb,1979,92140709
alb,1980,97311179
alb,1981,104652513
alb,1982,111960844
alb,1983,119591871
alb,1984,127417249
alb,1985,135297632
alb,1986,143354031
alb,1987,150798041
alb,1988,158124707
alb,1989,167108857
alb,1990,172418673
alb,1991,176705396
alb,1992,179220958
alb,1993,181556837
alb,1994,183482012
alb,1995,185568535
alb,1996,187585385
alb,1997,189129192
alb,1998,190882018
alb,1999,193866956
alb,2000,196888564
alb,2001,200111857
alb,2002,203863198
alb,2003,208157255
alb,2004,212322967
alb,2005,216576687
alb,2006,220474708
alb,2007,224402065
alb,2008,228776796
alb,2009,233155194
alb,2010,237753612
alb,2011,242993755
alb,2012,247705850
alb,2013,252520621
and,1995,407037
and,1996,832409
and,1997,1290784
and,1998,1774828
and,1999,2288208
and,2000,2812589
and,2001,3336970
and,2002,3868685
and,2003,4404067
and,2004,4968785
and,2005,5544504
and,2006,6090887
and,2007,6629936
and,2008,7168985
and,2009,7686032
and,2010,8203079
and,2011,8694457
and,2012,9185835
and,2013,9677213
ant,1986,3039943
ant,1987,5742522
ant,1988,8404764
ant,1989,13472558
ant,1990,18899718
ant,1991,23230445
ant,1992,26798436
ant,1993,32306270
ant,1994,37586750
ant,1995,42812225
ant,1996,47700336
ant,1997,52815801
ant,1998,53098160
ant,1999,55214019
ant,2000,60828196
ant,2001,66545049
ant,2002,72056550
ant,2003,77571718
ant,2004,83358244
ant,2005,89093432
ant,2006,95070642
ant,2007,101799587
ant,2008,108271842
ant,2009,114894444
ant,2010,119456192
ant,2011,125275721
are,1959,11001
are,1960,22002
are,1961,33003
are,1962,51338
are,1963,73340
are,1964,91675
are,1965,113677
are,1966,139346
are,1967,1056096
are,1968,2299209
are,1969,22823408
are,1970,38070794
are,1971,59255053
are,1972,82709185
are,1973,113339636
are,1974,144666817
are,1975,175737308
are,1976,215388579
are,1977,254174438
are,1978,298988845
are,1979,335596506
are,1980,372501194
are,1981,409358211
are,1982,446229896
are,1983,481572442
are,1984,527967326
are,1985,577893531
are,1986,625128158
are,1987,672821160
are,1988,721188890
are,1989,775676843
are,1990,827685904
are,1991,884696753
are,1992,942833371
are,1993,1008813702
are,1994,1081944683
are,1995,1152585771
are,1996,1193645170
are,1997,1235291289
are,1998,1316786697
are,1999,1395161488
are,2000,1507723720
are,2001,1609138272
are,2002,1693842305
are,2003,1800684017
are,2004,1913924644
are,2005,2030073202
are,2006,2153948129
are,2007,2289575791
are,2008,2446930428
are,2009,2614890029
are,2010,2775702647
are,2011,2935286820
are,2012,3107643154
are,2013,3276765194
arg,1887,1085432
arg,1888,1976513
arg,1889,3733006
arg,1890,5104464
arg,1891,6043216
arg,1892,7429342
arg,1893,8984150
arg,1894,10978998
arg,1895,13245204
arg,1896,15551747
arg,1897,17634603
arg,1898,19985150
arg,1899,22907749
arg,1900,24979604
arg,1901,27473164
arg,1902,30289420
arg,1903,33153347
arg,1904,36952359
arg,1905,40938388
arg,1906,47197957
arg,1907,53457526
arg,1908,61081219
arg,1909,67021759
arg,1910,75936236
arg,1911,85888474
arg,1912,95375003
arg,1913,105528926
arg,1914,114208715
arg,1915,121154013
arg,1916,126144800
arg,1917,128378003
arg,1918,130900899
arg,1919,134630238
arg,1920,140526774
arg,1921,146071278
arg,1922,153375942
arg,1923,161828377
arg,1924,172796374
arg,1925,184043063
arg,1926,195311754
arg,1927,208696304
arg,1928,221446463
arg,1929,234588991
arg,1930,247368486
arg,1931,260224988
arg,1932,273338180
arg,1933,286583384
arg,1934,300837013
arg,1935,314848620
arg,1936,329960327
arg,1937,346689181
arg,1938,363055002
arg,1939,380451250
arg,1940,396333027
arg,1941,410289629
arg,1942,423784189
arg,1943,437876470
arg,1944,451844073
arg,1945,465525650
arg,1946,479243897
arg,1947,493776218
arg,1948,511187134
arg,1949,526570199
arg,1950,556522255
arg,1951,591520103
arg,1952,627651054
arg,1953,662821251
arg,1954,699608595
arg,1955,739208528
arg,1956,783549892
arg,1957,831206224
arg,1958,875444912
arg,1959,924443366
arg,1960,973258470
arg,1961,1024438789
arg,1962,1078134670
arg,1963,1128218556
arg,1964,1183945955
arg,1965,1242812306
arg,1966,1305950712
arg,1967,1371494670
arg,1968,1440577283
arg,1969,1517906979
arg,1970,1600641833
arg,1971,1689581251
arg,1972,1779738113
arg,1973,1873803997
arg,1974,1969373351
arg,1975,2064304647
arg,1976,2164091051
arg,1977,2264882213
arg,1978,2367521543
arg,1979,2478224606
arg,1980,2586962157
arg,1981,2689003766
arg,1982,2792427834
arg,1983,2897641398
arg,1984,3004164081
arg,1985,3104760892
arg,1986,3208973365
arg,1987,3323915480
arg,1988,3445388522
arg,1989,3562479499
arg,1990,3675093069
arg,1991,3792114373
arg,1992,3913561746
arg,1993,4032170861
arg,1994,4155521407
arg,1995,4283485039
arg,1996,4418485644
arg,1997,4556489522
arg,1998,4696304898
arg,1999,4843289259
arg,2000,4985425846
arg,2001,5119146668
arg,2002,5243861338
arg,2003,5378924282
arg,2004,5536513607
arg,2005,5698624343
arg,2006,5874060957
arg,2007,6049237214
arg,2008,6238344404
arg,2009,6418306096
arg,2010,6606225178
arg,2011,6797858931
arg,2012,6990218750
arg,2013,7180037338
arm,1830,30.20547
arm,1831,66.45203
arm,1832,90.6164
arm,1833,120.82187
arm,1850,308.09577
arm,1855,875.95857
arm,1858,1673.38292
arm,1859,2519.13602
arm,1860,3636.73834
arm,1861,5056.39533
