country,year,yearly_co2_emissions_1000_tonnes
afg,1949,14.668
afg,1950,84.341
afg,1951,91.675
afg,1952,91.675
afg,1953,106.343
afg,1954,106.343
afg,1955,154.014
afg,1956,183.35
afg,1957,293.36
afg,1958,330.03
afg,1959,385.035
afg,1960,414.371
afg,1961,491.378
afg,1962,689.396
afg,1963,707.731
afg,1964,839.743
afg,1965,1008.425
afg,1966,1092.766
afg,1967,1283.45
afg,1968,1224.778
afg,1969,942.419
afg,1970,1672.152
afg,1971,1895.839
afg,1972,1532.806
afg,1973,1639.149
afg,1974,1917.841
afg,1975,2126.86
afg,1976,1987.514
afg,1977,2390.884
afg,1978,2159.863
afg,1979,2240.537
afg,1980,1760.16
afg,1981,1983.847
afg,1982,2101.191
afg,1983,2522.896
afg,1984,2830.924
afg,1985,3509.319
afg,1986,3142.619
afg,1987,3124.284
afg,1988,2867.594
afg,1989,2775.919
afg,1990,2614.571
afg,1991,2438.555
afg,1992,1393.46
afg,1993,1345.789
afg,1994,1294.451
afg,1995,1243.113
afg,1996,1177.107
afg,1997,1096.433
afg,1998,1041.428
afg,1999,821.408
afg,2000,773.737
afg,2001,638.058
afg,2002,883.747
afg,2003,1026.76
afg,2004,949.753
afg,2005,1327.454
afg,2006,1650.15
afg,2007,2273.54
afg,2008,4217.05
afg,2009,6776.616
afg,2010,8470.77
afg,2011,12251.447
afg,2012,20454.526
afg,2013,21268.6
alb,1933,7.334
alb,1934,7.334
alb,1935,18.335
alb,1936,128.345
alb,1937,297.027
alb,1938,348.365
alb,1939,432.706
alb,1940,693.063
alb,1941,627.057
alb,1942,744.401
alb,1943,462.042
alb,1944,154.014
alb,1945,121.011
alb,1946,484.044
alb,1947,927.751
alb,1948,704.064
alb,1949,1015.759
alb,1950,297.027
alb,1951,403.37
alb,1952,374.034
alb,1953,414.371
alb,1954,502.379
alb,1955,663.727
alb,1956,839.743
alb,1957,1507.137
alb,1958,1202.776
alb,1959,1444.798
alb,1960,2024.184
alb,1961,2280.874
alb,1962,2464.224
alb,1963,2082.856
alb,1964,2016.85
alb,1965,2174.531
alb,1966,2552.232
alb,1967,2680.577
alb,1968,3072.946
alb,1969,3245.295
alb,1970,3744.007
alb,1971,4352.729
alb,1972,5643.513
alb,1973,5291.481
alb,1974,4345.395
alb,1975,4594.751
alb,1976,4950.45
alb,1977,5720.52
alb,1978,6494.257
alb,1979,7587.023
alb,1980,5170.47
alb,1981,7341.334
alb,1982,7308.331
alb,1983,7631.027
alb,1984,7825.378
alb,1985,7880.383
alb,1986,8056.399
alb,1987,7444.01
alb,1988,7326.666
alb,1989,8984.15
alb,1990,5309.816
alb,1991,4286.723
alb,1992,2515.562
alb,1993,2335.879
alb,1994,1925.175
alb,1995,2086.523
alb,1996,2016.85
alb,1997,1543.807
alb,1998,1752.826
alb,1999,2984.938
alb,2000,3021.608
alb,2001,3223.293
alb,2002,3751.341
alb,2003,4294.057
alb,2004,4165.712
alb,2005,4253.72
alb,2006,3898.021
alb,2007,3927.357
alb,2008,4374.731
alb,2009,4378.398
alb,2010,4598.418
alb,2011,5240.143
alb,2012,4712.095
alb,2013,4814.771
dza,1900,0
dza,1901,0
dza,1902,0
dza,1903,0
dza,1904,0
dza,1905,0
dza,1916,3.667
dza,1917,7.334
dza,1918,18.335
dza,1919,18.335
dza,1920,22.002
dza,1921,25.669
dza,1922,25.669
dza,1923,14.668
dza,1924,29.336
dza,1925,33.003
dza,1926,40.337
dza,1927,58.672
dza,1928,73.34
dza,1929,80.674
dza,1930,84.341
dza,1931,99.009
dza,1932,113.677
dza,1933,121.011
dza,1934,139.346
dza,1935,132.012
dza,1936,51.338
dza,1937,69.673
dza,1938,33.003
dza,1939,161.348
dza,1940,238.355
dza,1941,311.695
dza,1942,498.712
dza,1943,469.376
dza,1944,498.712
dza,1945,616.056
dza,1946,762.736
dza,1947,744.401
dza,1948,803.073
dza,1949,909.416
dza,1950,3788.011
dza,1951,4136.376
dza,1952,3894.354
dza,1953,4004.364
dza,1954,4158.378
dza,1955,4613.086
dza,1956,5001.788
dza,1957,5544.504
dza,1958,5221.808
dza,1959,5665.515
dza,1960,6160.56
dza,1961,6065.218
dza,1962,5669.182
dza,1963,5427.16
dza,1964,5650.847
dza,1965,6596.933
dza,1966,8430.433
dza,1967,8441.434
dza,1968,9061.157
dza,1969,11276.025
dza,1970,15075.037
dza,1971,18668.697
dza,1972,28349.577
dza,1973,38312.816
dza,1974,31906.567
dza,1975,32031.245
dza,1976,39170.894
dza,1977,41891.808
dza,1978,62529.684
dza,1979,45621.147
dza,1980,66519.38
dza,1981,46438.888
dza,1982,39269.903
dza,1983,52625.117
dza,1984,71103.13
dza,1985,72786.283
